mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
13,8,350,175,4100,13.1,1988,1,buick century 350
14,8,304,150,3672,11.6,1988,1,amc matador
13,8,350,145,3988,13.1,1988,1,chevrolet malibu
14,8,302,137,4042,14.6,1988,1,ford gran torino
15,8,318,150,3777,12.6,1988,1,dodge coronet custom
12,8,429,198,4952,11.6,1988,1,mercury marquis brougham
13,8,400,150,4464,12.1,1988,1,chevrolet caprice classic
13,8,351,158,4363,13.1,1988,1,ford ltd
14,8,318,150,4237,14.6,1988,1,plymouth fury gran sedan
13,8,440,215,4735,11.1,1988,1,chrysler new yorker brougham
12,8,455,225,4951,11.1,1988,1,buick electra 225 custom
13,8,360,175,3821,11.1,1988,1,amc ambassador brougham
18,6,225,105,3121,16.6,1988,1,plymouth valiant
16,6,250,100,3278,18.1,1988,1,chevrolet nova custom
18,6,232,100,2945,16.1,1988,1,amc hornet
18,6,250,88,3021,16.6,1988,1,ford maverick
23,6,198,95,2904,16.1,1988,1,plymouth duster
26,4,97,46,1950,21.1,1988,2,volkswagen super beetle
11,8,400,150,4997,14.1,1988,1,chevrolet impala
12,8,400,167,4906,12.6,1988,1,ford country
13,8,360,170,4654,13.1,1989,1,plymouth custom suburb
12,8,350,180,4499,12.6,1989,1,oldsmobile vista cruiser
18,6,232,100,2789,15.1,1989,1,amc gremlin
20,4,97,88,2279,19.1,1989,3,toyota carina
21,4,140,72,2401,19.6,1989,1,chevrolet vega
22,4,108,94,2379,16.6,1989,3,datsun 610
18,3,70,90,2124,13.6,1989,3,maxda rx3
19,4,122,85,2310,18.6,1989,1,ford pinto
21,6,155,107,2472,14.1,1989,1,mercury capri v6
26,4,98,90,2265,15.6,1989,2,fiat 124 sport coupe
15,8,350,145,4082,13.1,1989,1,chevrolet monte carlo s
16,8,400,230,4278,9.6,1989,1,pontiac grand prix
29,4,68,49,1867,19.6,1989,2,fiat 128
24,4,116,75,2158,15.6,1989,2,opel manta
20,4,114,91,2582,14.1,1989,2,audi 100ls
19,4,121,112,2868,15.6,1989,2,volvo 144ea
15,8,318,150,3399,11.1,1989,1,dodge dart custom
24,4,121,110,2660,14.1,1989,2,saab 99le
20,6,156,122,2807,13.6,1989,3,toyota mark ii
11,8,350,180,3664,11.1,1989,1,oldsmobile omega
20,6,198,95,3102,16.6,1989,1,plymouth duster
21,6,200,111,2875,17.1,1989,1,ford maverick
19,6,232,100,2901,16.1,1989,1,amc hornet
15,6,250,100,3336,17.1,1989,1,chevrolet nova
31,4,79,67,1950,19.1,1989,3,datsun b210
26,4,122,80,2451,16.6,1989,1,ford pinto
32,4,71,65,1836,21.1,1989,3,toyota corolla 1200
25,4,140,75,2542,17.1,1989,1,chevrolet vega
16,6,250,100,3781,17.1,1989,1,chevrolet chevelle malibu classic
16,6,258,110,3632,18.1,1989,1,amc matador
18,6,225,105,3613,16.6,1989,1,plymouth satellite sebring
16,8,302,140,4141,14.1,1989,1,ford gran torino
13,8,350,150,4699,14.6,1989,1,buick century luxus (sw)
14,8,318,150,4457,13.6,1989,1,dodge coronet custom (sw)
14,8,302,140,4638,16.1,1989,1,ford gran torino (sw)
14,8,304,150,4257,15.6,1989,1,amc matador (sw)
29,4,98,83,2219,16.6,1989,2,audi fox
26,4,79,67,1963,15.6,1989,2,volkswagen dasher
26,4,97,78,2300,14.6,1989,2,opel manta
31,4,76,52,1649,16.6,1989,3,toyota corona
32,4,83,61,2003,19.1,1990,3,datsun 710
28,4,90,75,2125,14.6,1990,1,dodge colt
24,4,90,75,2108,15.6,1990,2,fiat 128
26,4,116,75,2246,14.1,1990,2,fiat 124 tc
24,4,120,97,2489,15.1,1990,3,honda civic
26,4,108,93,2391,15.6,1990,3,subaru
31,4,79,67,2000,16.1,1990,2,fiat x1.9
19,6,225,95,3264,16.1,1990,1,plymouth valiant custom
18,6,250,105,3459,16.1,1990,1,chevrolet nova
15,6,250,72,3432,21.1,1990,1,mercury monarch
15,6,250,72,3158,19.6,1990,1,ford maverick
16,8,400,170,4668,11.6,1990,1,pontiac catalina
15,8,350,145,4440,14.1,1990,1,chevrolet bel air
16,8,318,150,4498,14.6,1990,1,plymouth grand fury
14,8,351,148,4657,13.6,1990,1,ford ltd
17,6,231,110,3907,21.1,1990,1,buick century
16,6,250,105,3897,18.6,1990,1,chevroelt chevelle malibu
15,6,258,110,3730,19.1,1990,1,amc matador
18,6,225,95,3785,19.1,1990,1,plymouth fury
21,6,231,110,3039,15.1,1990,1,buick skyhawk
20,8,262,110,3221,13.6,1990,1,chevrolet monza 2+2
13,8,302,129,3169,12.1,1990,1,ford mustang ii
29,4,97,75,2171,16.1,1990,3,toyota corolla
23,4,140,83,2639,17.1,1990,1,ford pinto
20,6,232,100,2914,16.1,1990,1,amc gremlin
23,4,140,78,2592,18.6,1990,1,pontiac astro
24,4,134,96,2702,13.6,1990,3,toyota corona
25,4,90,71,2223,16.6,1990,2,volkswagen dasher
24,4,119,97,2545,17.1,1990,3,datsun 710
18,6,171,97,2984,14.6,1990,1,ford pinto
29,4,90,70,1937,14.1,1990,2,volkswagen rabbit
19,6,232,90,3211,17.1,1990,1,amc pacer
23,4,115,95,2694,15.1,1990,2,audi 100ls
23,4,120,88,2957,17.1,1990,2,peugeot 504
22,4,121,98,2945,14.6,1990,2,volvo 244dl
25,4,121,115,2671,13.6,1990,2,saab 99le
33,4,91,53,1795,17.6,1990,3,honda civic cvcc
28,4,107,86,2464,15.6,1990,2,fiat 131
25,4,116,81,2220,17,1990,2,opel 1900
25,4,140,92,2572,15,1990,1,capri ii
26,4,98,79,2255,17.8,1990,1,dodge colt
27,4,101,83,2202,15.4,1990,2,renault 12tl
17.5,8,305,140,4215,13.1,1990,1,chevrolet chevelle malibu classic
16,8,318,150,4190,13.1,1990,1,dodge coronet brougham
15.5,8,304,120,3962,14,1990,1,amc matador
14.5,8,351,152,4215,12.9,1990,1,ford gran torino
22,6,225,100,3233,15.5,1990,1,plymouth valiant
22,6,250,105,3353,14.6,1990,1,chevrolet nova
24,6,200,81,3012,17.7,1990,1,ford maverick
22.5,6,232,90,3085,17.7,1990,1,amc hornet
29,4,85,52,2035,22.3,1990,1,chevrolet chevette
24.5,4,98,60,2164,22.2,1990,1,chevrolet woody
29,4,90,70,1937,14.3,1990,2,vw rabbit
33,4,91,53,1795,17.5,1990,3,honda civic
20,6,225,100,3651,17.8,1990,1,dodge aspen se
18,6,250,78,3574,21.1,1990,1,ford granada ghia
18.5,6,250,110,3645,16.3,1990,1,pontiac ventura sj
17.5,6,258,95,3193,17.9,1990,1,amc pacer d/l
29.5,4,97,71,1825,12.3,1990,2,volkswagen rabbit
32,4,85,70,1990,17.1,1990,3,datsun b-210
28,4,97,75,2155,16.5,1990,3,toyota corolla
26.5,4,140,72,2565,13.7,1990,1,ford pinto
20,4,130,102,3150,15.8,1990,2,volvo 245
13,8,318,150,3940,13.3,1990,1,plymouth volare premier v8
19,4,120,88,3270,22,1990,2,peugeot 504
19,6,156,108,2930,15.6,1990,3,toyota mark ii
16.5,6,168,120,3820,16.8,1990,2,mercedes-benz 280s
16.5,8,350,180,4380,12.2,1990,1,cadillac seville
13,8,350,145,4055,12.1,1990,1,chevy c10
13,8,302,130,3870,15.1,1990,1,ford f108
13,8,318,150,3755,14.1,1990,1,dodge d100
31.5,4,98,68,2045,18.6,1990,3,honda accord cvcc
30,4,111,80,2155,14.9,1990,1,buick opel isuzu deluxe
36,4,79,58,1825,18.7,1990,2,renault 5 gtl
25.5,4,122,96,2300,15.6,1990,1,plymouth arrow gs
33.5,4,85,70,1945,16.9,1990,3,datsun f-10 hatchback
17.5,8,305,145,3880,12.6,1990,1,chevrolet caprice classic
17,8,260,110,4060,19.1,1990,1,oldsmobile cutlass supreme
15.5,8,318,145,4140,13.8,1990,1,dodge monaco brougham
15,8,302,130,4295,15,1990,1,mercury cougar brougham
17.5,6,250,110,3520,16.5,1990,1,chevrolet concours
20.5,6,231,105,3425,17,1990,1,buick skylark
19,6,225,100,3630,17.8,1990,1,plymouth volare custom
18.5,6,250,98,3525,19.1,1990,1,ford granada
16,8,400,180,4220,11.2,1990,1,pontiac grand prix lj
15.5,8,350,170,4165,11.5,1990,1,chevrolet monte carlo landau
15.5,8,400,190,4325,12.3,1990,1,chrysler cordoba
16,8,351,149,4335,14.6,1990,1,ford thunderbird
29,4,97,78,1940,14.6,1990,2,volkswagen rabbit custom
24.5,4,151,88,2740,16.1,1990,1,pontiac sunbird coupe
26,4,97,75,2265,18.3,1990,3,toyota corolla liftback
25.5,4,140,89,2755,15.9,1990,1,ford mustang ii 2+2
30.5,4,98,63,2051,17.1,1990,1,chevrolet chevette
33.5,4,98,83,2075,16,1990,1,dodge colt m/m
30,4,97,67,1985,16.5,1990,3,subaru dl
30.5,4,97,78,2190,14.2,1990,2,volkswagen dasher
22,6,146,97,2815,14.6,1990,3,datsun 810
21.5,4,121,110,2600,12.9,1990,2,bmw 320i
21.5,3,80,110,2720,13.6,1990,3,mazda rx-4
43.1,4,90,48,1985,21.6,1990,2,volkswagen rabbit custom diesel
36.1,4,98,66,1800,14.5,1990,1,ford fiesta
32.8,4,78,52,1985,19.5,1990,3,mazda glc deluxe
39.4,4,85,70,2070,18.7,1990,3,datsun b210 gx
36.1,4,91,60,1800,16.5,1990,3,honda civic cvcc
19.9,8,260,110,3365,15.6,1990,1,oldsmobile cutlass salon brougham
19.4,8,318,140,3735,13.3,1990,1,dodge diplomat
20.2,8,302,139,3570,12.9,1990,1,mercury monarch ghia
19.2,6,231,105,3535,19.3,1990,1,pontiac phoenix lj
20.5,6,200,95,3155,18.3,1990,1,chevrolet malibu
20.2,6,200,85,2965,15.9,1990,1,ford fairmont (auto)
25.1,4,140,88,2720,15.5,1990,1,ford fairmont (man)
20.5,6,225,100,3430,17.3,1990,1,plymouth volare
19.4,6,232,90,3210,17.3,1990,1,amc concord
20.6,6,231,105,3380,15.9,1990,1,buick century special
20.8,6,200,85,3070,16.8,1990,1,mercury zephyr
18.6,6,225,110,3620,18.8,1990,1,dodge aspen
18.1,6,258,120,3410,15.2,1990,1,amc concord d/l
19.2,8,305,145,3425,13.3,1990,1,chevrolet monte carlo landau
17.7,6,231,165,3445,13.5,1990,1,buick regal sport coupe (turbo)
18.1,8,302,139,3205,11.3,1990,1,ford futura
17.5,8,318,140,4080,13.8,1991,1,dodge magnum xe
30,4,98,68,2155,16.6,1991,1,chevrolet chevette
27.5,4,134,95,2560,14.3,1991,3,toyota corona
27.2,4,119,97,2300,14.8,1991,3,datsun 510
30.9,4,105,75,2230,14.6,1991,1,dodge omni
21.1,4,134,95,2515,14.9,1991,3,toyota celica gt liftback
23.2,4,156,105,2745,16.8,1991,1,plymouth sapporo
23.8,4,151,85,2855,17.7,1991,1,oldsmobile starfire sx
23.9,4,119,97,2405,15,1991,3,datsun 200-sx
20.3,5,131,103,2830,16,1991,2,audi 5000
17,6,163,125,3140,13.7,1991,2,volvo 264gl
21.6,4,121,115,2795,15.8,1991,2,saab 99gle
16.2,6,163,133,3410,15.9,1991,2,peugeot 604sl
31.5,4,89,71,1990,15,1991,2,volkswagen scirocco
29.5,4,98,68,2135,16.7,1991,3,honda accord lx
21.5,6,231,115,3245,15.5,1991,1,pontiac lemans v6
19.8,6,200,85,2990,18.3,1991,1,mercury zephyr 6
22.3,4,140,88,2890,17.4,1991,1,ford fairmont 4
20.2,6,232,90,3265,18.3,1991,1,amc concord dl 6
20.6,6,225,110,3360,16.7,1991,1,dodge aspen 6
17,8,305,130,3840,15.5,1991,1,chevrolet caprice classic
17.6,8,302,129,3725,13.5,1991,1,ford ltd landau
16.5,8,351,138,3955,13.3,1991,1,mercury grand marquis
18.2,8,318,135,3830,15.3,1991,1,dodge st. regis
16.9,8,350,155,4360,15,1991,1,buick estate wagon (sw)
15.5,8,351,142,4054,14.4,1991,1,ford country squire (sw)
19.2,8,267,125,3605,15.1,1991,1,chevrolet malibu classic (sw)
18.5,8,360,150,3940,13.1,1991,1,chrysler lebaron town @ country (sw)
31.9,4,89,71,1925,14.1,1991,2,vw rabbit custom
34.1,4,86,65,1975,15.3,1991,3,maxda glc deluxe
35.7,4,98,80,1915,14.5,1991,1,dodge colt hatchback custom
27.4,4,121,80,2670,15.1,1991,1,amc spirit dl
25.4,5,183,77,3530,20.2,1991,2,mercedes benz 300d
23,8,350,125,3900,17.5,1991,1,cadillac eldorado
27.2,4,141,71,3190,24.9,1991,2,peugeot 504
23.9,8,260,90,3420,22.3,1991,1,oldsmobile cutlass salon brougham
34.2,4,105,70,2200,13.3,1991,1,plymouth horizon
34.5,4,105,70,2150,15,1991,1,plymouth horizon tc3
31.8,4,85,65,2020,19.3,1991,3,datsun 210
37.3,4,91,69,2130,14.8,1991,2,fiat strada custom
28.4,4,151,90,2670,16.1,1991,1,buick skylark limited
28.8,6,173,115,2595,11.4,1991,1,chevrolet citation
26.8,6,173,115,2700,13,1991,1,oldsmobile omega brougham
33.5,4,151,90,2556,13.3,1991,1,pontiac phoenix
41.5,4,98,76,2144,14.8,1991,2,vw rabbit
38.1,4,89,60,1968,18.9,1991,3,toyota corolla tercel
32.1,4,98,70,2120,15.6,1991,1,chevrolet chevette
37.2,4,86,65,2019,16.5,1991,3,datsun 310
28,4,151,90,2678,16.6,1991,1,chevrolet citation
26.4,4,140,88,2870,18.2,1991,1,ford fairmont
24.3,4,151,90,3003,20.2,1991,1,amc concord
19.1,6,225,90,3381,18.8,1991,1,dodge aspen
34.3,4,97,78,2188,15.9,1991,2,audi 4000
29.8,4,134,90,2711,15.6,1991,3,toyota corona liftback
31.3,4,120,75,2542,17.6,1991,3,mazda 626
37,4,119,92,2434,15.1,1991,3,datsun 510 hatchback
32.2,4,108,75,2265,15.3,1991,3,toyota corolla
46.6,4,86,65,2110,18,1991,3,mazda glc
27.9,4,156,105,2800,14.5,1991,1,dodge colt
40.8,4,85,65,2110,19.3,1991,3,datsun 210
44.3,4,90,48,2085,21.8,1991,2,vw rabbit c (diesel)
43.4,4,90,48,2335,23.8,1991,2,vw dasher (diesel)
36.4,5,121,67,2950,20,1991,2,audi 5000s (diesel)
30,4,146,67,3250,21.9,1991,2,mercedes-benz 240d
44.6,4,91,67,1850,13.9,1991,3,honda civic 1500 gl
40.9,4,85,89,1835,17.4,1991,2,renault lecar deluxe
33.8,4,97,67,2145,18.1,1991,3,subaru dl
29.8,4,89,62,1845,15.4,1991,2,vokswagen rabbit
32.7,6,168,132,2910,11.5,1991,3,datsun 280-zx
23.7,3,70,100,2420,12.6,1991,3,mazda rx-7 gs
35,4,122,88,2500,15.2,1991,2,triumph tr7 coupe
23.6,4,140,108,2905,14.4,1991,1,ford mustang cobra
32.4,4,107,72,2290,17.1,1991,3,honda accord
27.2,4,135,84,2490,15.8,1991,1,plymouth reliant
26.6,4,151,84,2635,16.5,1991,1,buick skylark
25.8,4,156,92,2620,14.5,1991,1,dodge aries wagon (sw)
23.5,6,173,110,2725,12.7,1991,1,chevrolet citation
30,4,135,84,2385,13,1991,1,plymouth reliant
39.1,4,79,58,1755,17,1991,3,toyota starlet
39,4,86,64,1875,16.5,1991,1,plymouth champ
35.1,4,81,60,1760,16.2,1991,3,honda civic 1300
32.3,4,97,67,2065,17.9,1991,3,subaru
37,4,85,65,1975,19.5,1991,3,datsun 210 mpg
37.7,4,89,62,2050,17.4,1991,3,toyota tercel
34.1,4,91,68,1985,16.1,1991,3,mazda glc 4
34.7,4,105,63,2215,15,1991,1,plymouth horizon 4
34.4,4,98,65,2045,16.3,1991,1,ford escort 4w
29.9,4,98,65,2380,20.8,1991,1,ford escort 2h
33,4,105,74,2190,14.3,1991,2,volkswagen jetta
34.5,4,100,105,2320,15.9,1991,2,renault 18i
33.7,4,107,75,2210,14.5,1991,3,honda prelude
32.4,4,108,75,2350,16.9,1991,3,toyota corolla
32.9,4,119,100,2615,14.9,1991,3,datsun 200sx
31.6,4,120,74,2635,18.4,1991,3,mazda 626
28.1,4,141,80,3230,20.5,1991,2,peugeot 505s turbo diesel
30.7,6,145,76,3160,19.7,1991,2,volvo diesel
25.4,6,168,116,2900,12.7,1991,3,toyota cressida
24.2,6,146,120,2930,13.9,1991,3,datsun 810 maxima
22.4,6,231,110,3415,15.9,1991,1,buick century
26.6,8,350,105,3725,19.1,1991,1,oldsmobile cutlass ls
20.2,6,200,88,3060,17.2,1991,1,ford granada gl
17.6,6,225,85,3465,16.7,1991,1,chrysler lebaron salon
28,4,112,88,2605,19.7,1991,1,chevrolet cavalier
27,4,112,88,2640,18.7,1991,1,chevrolet cavalier wagon
34,4,112,88,2395,18.1,1991,1,chevrolet cavalier 2-door
31,4,112,85,2575,16.3,1991,1,pontiac j2000 se hatchback
29,4,135,84,2525,16.1,1991,1,dodge aries se
27,4,151,90,2735,18.1,1991,1,pontiac phoenix
24,4,140,92,2865,16.5,1991,1,ford fairmont futura
23,4,151,99,3035,20.6,1991,1,amc concord dl
36,4,105,74,1980,15.4,1991,2,volkswagen rabbit l
37,4,91,68,2025,18.3,1991,3,mazda glc custom l
31,4,91,68,1970,17.7,1991,3,mazda glc custom
38,4,105,63,2125,14.8,1991,1,plymouth horizon miser
36,4,98,70,2125,17.4,1991,1,mercury lynx l
36,4,120,88,2160,14.6,1991,3,nissan stanza xe
36,4,107,75,2205,14.6,1991,3,honda accord
34,4,108,70,2245,17,1991,3,toyota corolla
38,4,91,67,1965,15.1,1991,3,honda civic
32,4,91,67,1965,15.8,1991,3,honda civic (auto)
38,4,91,67,1995,16.3,1991,3,datsun 310 gx
25,6,181,110,2945,16.5,1991,1,buick century limited
38,6,262,85,3015,17.1,1991,1,oldsmobile cutlass ciera (diesel)
26,4,156,92,2585,14.6,1991,1,chrysler lebaron medallion
22,6,232,112,2835,14.8,1991,1,ford granada l
32,4,144,96,2665,14,1991,3,toyota celica gt
36,4,135,84,2370,13.1,1991,1,dodge charger 2.2
27,4,151,90,2950,17.4,1991,1,chevrolet camaro
27,4,140,86,2790,15.7,1991,1,ford mustang gl
44,4,97,52,2130,24.7,1991,2,vw pickup
32,4,135,84,2295,11.7,1991,1,dodge rampage
28,4,120,79,2625,18.7,1991,1,ford ranger
31,4,119,82,2720,19.5,1991,1,chevy s-10
18,8,307,130,3505,12,1992,1,chevrolet chevelle malibu
15,8,350,165,3694,11.5,1992,1,buick skylark 320
18,8,318,150,3437,11,1992,1,plymouth satellite
16,8,304,150,3434,12,1992,1,amc rebel sst
17,8,302,140,3450,10.5,1992,1,ford torino
15,8,429,198,4342,10,1992,1,ford galaxie 500
14,8,454,220,4355,9,1992,1,chevrolet impala
14,8,440,215,4313,8.5,1992,1,plymouth fury iii
14,8,455,225,4426,10,1992,1,pontiac catalina
15,8,390,190,3851,8.5,1992,1,amc ambassador dpl
15,8,383,170,3564,10,1992,1,dodge challenger se
14,8,340,160,3610,8,1992,1,plymouth 'cuda 340
15,8,400,150,3762,9.5,1992,1,chevrolet monte carlo
14,8,455,225,3087,10,1992,1,buick estate wagon (sw)
24,4,113,95,2373,15,1992,3,toyota corona mark ii
22,6,198,95,2834,15.5,1992,1,plymouth duster
18,6,199,97,2775,15.5,1992,1,amc hornet
21,6,200,85,2588,16,1992,1,ford maverick
27,4,97,88,2131,14.5,1992,3,datsun pl510
26,4,97,46,1836,20.5,1992,2,volkswagen 1131 deluxe sedan
25,4,110,87,2673,17.5,1992,2,peugeot 504
24,4,107,90,2431,14.5,1992,2,audi 100 ls
25,4,104,95,2376,17.5,1992,2,saab 99e
26,4,121,113,2235,12.5,1992,2,bmw 2002
21,6,199,90,2649,15,1992,1,amc gremlin
10,8,360,215,4616,14,1992,1,ford f250
10,8,307,200,4377,15,1992,1,chevy c20
11,8,318,210,4383,13.5,1992,1,dodge d200
9,8,304,193,4733,18.5,1992,1,hi 1200d
27,4,97,88,2131,14.5,1992,3,datsun pl510
28,4,140,90,2265,15.5,1992,1,chevrolet vega 2300
25,4,113,95,2229,14,1992,3,toyota corona
25,4,98,98,2047,19,1992,1,ford pinto
19,6,232,100,2635,13,1992,1,amc gremlin
16,6,225,105,3440,15.5,1992,1,plymouth satellite custom
17,6,250,100,3330,15.5,1992,1,chevrolet chevelle malibu
19,6,250,88,3303,15.5,1992,1,ford torino 500
18,6,232,100,3289,15.5,1992,1,amc matador
14,8,350,165,4210,12,1992,1,chevrolet impala
14,8,400,175,4465,11.5,1992,1,pontiac catalina brougham
14,8,351,153,4155,13.5,1992,1,ford galaxie 500
14,8,318,150,4097,13,1992,1,plymouth fury iii
12,8,383,180,4956,11.5,1992,1,dodge monaco (sw)
13,8,400,170,4747,12,1992,1,ford country squire (sw)
13,8,400,175,5141,12,1992,1,pontiac safari (sw)
18,6,258,110,2963,13.5,1992,1,amc hornet sportabout (sw)
22,4,140,72,2409,19,1992,1,chevrolet vega (sw)
19,6,250,100,3283,15,1992,1,pontiac firebird
18,6,250,88,3140,14.5,1992,1,ford mustang
23,4,122,86,2221,14,1992,1,mercury capri 2000
28,4,116,90,2124,14,1992,2,opel 1900
30,4,79,70,2075,19.5,1992,2,peugeot 304
30,4,88,76,2066,14.5,1992,2,fiat 124b
31,4,71,65,1774,19,1992,3,toyota corolla 1200
35,4,72,69,1614,18,1992,3,datsun 1200
27,4,97,60,1835,19,1992,2,volkswagen model 111
26,4,91,70,1956,20.5,1992,1,plymouth cricket
24,4,113,95,2279,15.5,1992,3,toyota corona hardtop
25,4,97.5,80,2127,17,1992,1,dodge colt hardtop
23,4,97,54,2255,23.5,1992,2,volkswagen type 3
20,4,140,90,2409,19.5,1992,1,chevrolet vega
21,4,122,86,2227,16.5,1992,1,ford pinto runabout
13,8,350,165,4275,12,1992,1,chevrolet impala
14,8,400,175,4386,12,1992,1,pontiac catalina
15,8,318,150,4136,13.5,1992,1,plymouth fury iii
14,8,351,153,4130,13,1992,1,ford galaxie 500
17,8,304,150,3673,11.5,1992,1,amc ambassador sst
11,8,429,208,4634,11,1992,1,mercury marquis
13,8,350,155,4503,13.5,1992,1,buick lesabre custom
12,8,350,160,4457,13.5,1992,1,oldsmobile delta 88 royale
13,8,400,190,4423,12.5,1992,1,chrysler newport royal
19,3,70,97,2331,13.5,1992,3,mazda rx2 coupe
15,8,304,150,3893,12.5,1992,1,amc matador (sw)
13,8,307,130,4099,14,1992,1,chevrolet chevelle concours (sw)
13,8,302,140,4295,16,1992,1,ford gran torino (sw)
14,8,318,150,4078,14,1992,1,plymouth satellite custom (sw)
18,4,121,112,2934,14.5,1992,2,volvo 145e (sw)
22,4,121,76,2512,18,1992,2,volkswagen 411 (sw)
21,4,120,87,2980,19.5,1992,2,peugeot 504 (sw)
26,4,96,69,2190,18,1993,2,renault 12 (sw)
22,4,122,86,2396,16,1993,1,ford pinto (sw)
28,4,97,92,2289,17,1993,3,datsun 510 (sw)
23,4,120,97,2507,14.5,1993,3,toyouta corona mark ii (sw)
28,4,98,80,2165,15,1993,1,dodge colt (sw)
27,4,97,88,2101,16.5,1993,3,toyota corolla 1600 (sw)
13,8,350,175,4101,13,1993,1,buick century 350
14,8,304,150,3673,11.5,1993,1,amc matador
13,8,350,145,3989,13,1993,1,chevrolet malibu
14,8,302,137,4043,14.5,1993,1,ford gran torino
15,8,318,150,3778,12.5,1993,1,dodge coronet custom
12,8,429,198,4953,11.5,1993,1,mercury marquis brougham
13,8,400,150,4465,12,1993,1,chevrolet caprice classic
13,8,351,158,4364,13,1993,1,ford ltd
14,8,318,150,4238,14.5,1993,1,plymouth fury gran sedan
13,8,440,215,4736,11,1993,1,chrysler new yorker brougham
12,8,455,225,4952,11,1993,1,buick electra 225 custom
13,8,360,175,3822,11,1993,1,amc ambassador brougham
18,6,225,105,3122,16.5,1993,1,plymouth valiant
16,6,250,100,3279,18,1993,1,chevrolet nova custom
18,6,232,100,2946,16,1993,1,amc hornet
18,6,250,88,3022,16.5,1993,1,ford maverick
23,6,198,95,2905,16,1993,1,plymouth duster
26,4,97,46,1951,21,1993,2,volkswagen super beetle
11,8,400,150,4998,14,1993,1,chevrolet impala
12,8,400,167,4907,12.5,1993,1,ford country
13,8,360,170,4655,13,1993,1,plymouth custom suburb
12,8,350,180,4500,12.5,1993,1,oldsmobile vista cruiser
18,6,232,100,2790,15,1993,1,amc gremlin
20,4,97,88,2280,19,1993,3,toyota carina
21,4,140,72,2402,19.5,1993,1,chevrolet vega
22,4,108,94,2380,16.5,1993,3,datsun 610
18,3,70,90,2125,13.5,1993,3,maxda rx3
19,4,122,85,2311,18.5,1993,1,ford pinto
21,6,155,107,2473,14,1993,1,mercury capri v6
26,4,98,90,2266,15.5,1993,2,fiat 124 sport coupe
15,8,350,145,4083,13,1993,1,chevrolet monte carlo s
16,8,400,230,4279,9.5,1993,1,pontiac grand prix
29,4,68,49,1868,19.5,1993,2,fiat 128
24,4,116,75,2159,15.5,1993,2,opel manta
20,4,114,91,2583,14,1993,2,audi 100ls
19,4,121,112,2869,15.5,1993,2,volvo 144ea
15,8,318,150,3400,11,1993,1,dodge dart custom
24,4,121,110,2661,14,1993,2,saab 99le
20,6,156,122,2808,13.5,1993,3,toyota mark ii
11,8,350,180,3665,11,1993,1,oldsmobile omega
20,6,198,95,3103,16.5,1993,1,plymouth duster
21,6,200,94,2876,17,1993,1,ford maverick
19,6,232,100,2902,16,1993,1,amc hornet
15,6,250,100,3337,17,1993,1,chevrolet nova
31,4,79,67,1951,19,1993,3,datsun b210
26,4,122,80,2452,16.5,1993,1,ford pinto
32,4,71,65,1837,21,1993,3,toyota corolla 1200
25,4,140,75,2543,17,1993,1,chevrolet vega
16,6,250,100,3782,17,1993,1,chevrolet chevelle malibu classic
16,6,258,110,3633,18,1993,1,amc matador
18,6,225,105,3614,16.5,1993,1,plymouth satellite sebring
16,8,302,140,4142,14,1993,1,ford gran torino
13,8,350,150,4700,14.5,1993,1,buick century luxus (sw)
14,8,318,150,4458,13.5,1993,1,dodge coronet custom (sw)
14,8,302,140,4639,16,1993,1,ford gran torino (sw)
14,8,304,150,4258,15.5,1993,1,amc matador (sw)
29,4,98,83,2220,16.5,1993,2,audi fox
26,4,79,67,1964,15.5,1993,2,volkswagen dasher
26,4,97,78,2301,14.5,1994,2,opel manta
31,4,76,52,1650,16.5,1994,3,toyota corona
32,4,83,61,2004,19,1994,3,datsun 710
28,4,90,75,2126,14.5,1994,1,dodge colt
24,4,90,75,2109,15.5,1994,2,fiat 128
26,4,116,75,2247,14,1994,2,fiat 124 tc
24,4,120,97,2490,15,1994,3,honda civic
26,4,108,93,2392,15.5,1994,3,subaru
31,4,79,67,2001,16,1994,2,fiat x1.9
19,6,225,95,3265,16,1994,1,plymouth valiant custom
18,6,250,105,3460,16,1994,1,chevrolet nova
15,6,250,72,3433,21,1994,1,mercury monarch
15,6,250,72,3159,19.5,1994,1,ford maverick
16,8,400,170,4669,11.5,1994,1,pontiac catalina
15,8,350,145,4441,14,1994,1,chevrolet bel air
16,8,318,150,4499,14.5,1994,1,plymouth grand fury
14,8,351,148,4658,13.5,1994,1,ford ltd
17,6,231,110,3908,21,1994,1,buick century
16,6,250,105,3898,18.5,1994,1,chevroelt chevelle malibu
15,6,258,110,3731,19,1994,1,amc matador
18,6,225,95,3786,19,1994,1,plymouth fury
21,6,231,110,3040,15,1994,1,buick skyhawk
20,8,262,110,3222,13.5,1994,1,chevrolet monza 2+2
13,8,302,129,3170,12,1994,1,ford mustang ii
29,4,97,75,2172,16,1994,3,toyota corolla
23,4,140,83,2640,17,1994,1,ford pinto
20,6,232,100,2915,16,1994,1,amc gremlin
23,4,140,78,2593,18.5,1994,1,pontiac astro
24,4,134,96,2703,13.5,1994,3,toyota corona
25,4,90,71,2224,16.5,1994,2,volkswagen dasher
24,4,119,97,2546,17,1994,3,datsun 710
18,6,171,97,2985,14.5,1994,1,ford pinto
